iter	Passed	Remaining
785	34096	9283
786	34150	9242
787	34196	9200
788	34231	9154
789	34279	9112
790	34324	9069
791	34371	9026
792	34415	8983
793	34459	8940
794	34505	8897
795	34544	8852
796	34581	8807
797	34622	8764
798	34663	8719
799	34698	8674
800	34735	8629
801	34775	8585
802	34816	8541
803	34860	8498
804	34902	8454
805	34942	8410
806	34982	8366
807	35020	8321
808	35057	8276
809	35096	8232
810	35136	8188
811	35173	8143
812	35212	8099
813	35251	8054
814	35288	8010
815	35325	7965
816	35365	7921
817	35405	7877
818	35446	7833
819	35484	7789
820	35528	7746
821	35571	7702
822	35673	7672
823	35792	7645
824	35836	7601
825	35878	7557
826	35926	7515
827	35968	7471
828	36013	7428
829	36059	7385
830	36110	7343
831	36170	7303
832	36222	7261
833	36278	7220
834	36335	7180
835	36391	7139
836	36446	7097
837	36500	7056
838	36544	7012
839	36594	6970
840	36636	6926
841	36684	6883
842	36730	6840
843	36784	6799
844	36839	6757
845	36891	6715
846	36940	6672
847	36987	6629
848	37042	6588
849	37089	6545
850	37131	6501
851	37171	6457
852	37214	6413
853	37258	6369
854	37304	6326
855	37349	6283
856	37393	6239
857	37443	6196
858	37495	6154
859	37544	6111
860	37601	6070
861	37659	6029
862	37720	5988
863	37781	5947
864	37847	5906
865	37909	5865
866	37967	5824
867	38030	5783
868	38099	5743
869	38167	5703
870	38234	5662
871	38298	5621
872	38357	5580
873	38416	5538
874	38482	5497
875	38542	5455
876	38607	5414
877	38680	5374
878	38752	5334
879	38850	5297
880	38916	5256
881	38989	5216
882	39064	5176
883	39150	5137
884	39234	5098
885	39311	5058
886	39390	5018
887	39464	4977
888	39533	4936
889	39598	4894
890	39671	4853
891	39742	4811
892	39817	4770
893	39886	4729
894	39953	4687
895	40025	4645
896	40090	4603
897	40160	4561
898	40222	4518
899	40283	4475
900	40359	4434
901	40430	4392
902	40496	4350
903	40560	4307
904	40652	4267
905	40718	4224
906	40777	4181
907	40843	4138
908	40918	4096
909	40994	4054
910	41059	4011
911	41130	3968
912	41193	3925
913	41266	3882
914	41336	3839
915	41397	3796
916	41455	3752
917	41512	3708
918	41572	3664
919	41631	3620
920	41697	3576
921	41763	3533
922	41824	3489
923	41882	3444
924	41941	3400
925	41993	3355
926	42043	3310
927	42100	3266
928	42158	3222
929	42215	3177
930	42267	3132
931	42315	3087
932	42373	3042
933	42424	2997
934	42476	2952
935	42525	2907
936	42576	2862
937	42629	2817
938	42686	2773
939	42750	2728
940	42908	2690
941	43036	2649
942	43147	2608
943	43223	2564
944	43317	2521
945	43447	2480
946	43579	2438
947	43692	2396
948	43796	2353
949	43916	2311
950	43992	2266
951	44086	2222
952	44167	2178
953	44286	2135
954	44403	2092
955	44490	2047
956	44570	2002
957	44654	1957
958	44754	1913
959	44842	1868
960	44923	1823
961	45005	1777
962	45075	1731
963	45172	1686
964	45252	1641
965	45333	1595
966	45423	1550
967	45502	1504
968	45579	1458
969	45657	1412
970	45733	1365
971	45831	1320
972	45922	1274
973	46010	1228
974	46082	1181
975	46156	1135
976	46241	1088
977	46305	1041
978	46375	994
979	46443	947
980	46511	900
981	46577	853
982	46646	806
983	46723	759
984	46796	712
985	46888	665
986	46969	618
987	47043	571
988	47120	524
989	47197	476
990	47263	429
991	47341	381
992	47416	334
993	47491	286
994	47574	239
995	47641	191
996	47710	143
997	47788	95
998	47867	47
999	47945	0
